Item type,Authors,Title,Journal,Full journal,Publication year,Volume,Issue,Pages,Free_access OR gated?,Publisher,Date published,ISSN,ISSN (alt.),URLs,DOI,PMID,Arxiv ID,PMC ID,Copyright,Affiliation,Sub-type,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Cioce A,Bineva-Todd G,Agbay AJ,Choi J,Wood TM,Debets MF,Browne WM,Douglas HL,Roustan C,Tastan OY,Kjaer S,Bush JT,Bertozzi CR,Schumann B",Optimization of Metabolic Oligosaccharide Engineering with Ac4GalNAlk and Ac4GlcNAlk by an Engineered Pyrophosphorylase,ACS Chem. Biol.,ACS chemical biology,2021,,,,free_access,ACS Publications,09/04/2021,1554-8929,1554-8937,http://dx.doi.org/10.1021/acschembio.1c00034;https://www.ncbi.nlm.nih.gov/pubmed/33835779;https://doi.org/10.1021/acschembio.1c00034;https://pubs.acs.org/doi/abs/10.1021/acschembio.1c00034;https://pubs.acs.org/doi/full/10.1021/acschembio.1c00034,10.1021/acschembio.1c00034,33835779,,,,"Department of Chemistry, Imperial College London, 80 Wood Lane, W12 0BZ London, United Kingdom. The Chemical Glycobiology Laboratory, The Francis Crick Institute, 1 Midland Road, NW1 1AT London, United Kingdom. Department of Chemistry, Stanford University, Stanford, California 94305, United States. Mycobacterial Metabolism and Antibiotic Research Laboratory, The Francis Crick Institute, 1 Midland Road, NW1 1AT London, United Kingdom. Structural Biology Science Technology Platform, The Francis Crick Institute, NW1 1AT London, United Kingdom. GlaxoSmithKline, Gunnels Wood Road, Stevenage, Hertfordshire SG1 2NY United Kingdom. Howard Hughes Medical Institute, 380 Roth Way, Stanford, California 94305, United States.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Hammond K,Cipcigan F,Al Nahas K,Losasso V,Lewis H,Cama J,Martelli F,Simcock PW,Fletcher M,Ravi J,Stansfeld PJ,Pagliara S,Hoogenboom BW,Keyser UF,Sansom MSP,Crain J,Ryadnov MG",Switching Cytolytic Nanopores into Antimicrobial Fractal Ruptures by a Single Side Chain Mutation,ACS Nano,ACS nano,2021,15,6,9679-9689,free_access,ACS Publications,22/06/2021,1936-0851,1936-086X,http://dx.doi.org/10.1021/acsnano.1c00218;https://www.ncbi.nlm.nih.gov/pubmed/33885289;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8219408;https://doi.org/10.1021/acsnano.1c00218;https://pubs.acs.org/doi/abs/10.1021/acsnano.1c00218;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8219408/,10.1021/acsnano.1c00218,33885289,,PMC8219408,,"National Physical Laboratory, Hampton Road, Teddington, TW11 0LW, U.K. London Centre for Nanotechnology, University College London, London WC1H 0AH, U.K. IBM Research Europe, Hartree Centre, Daresbury WA4 4AD, U.K. Cavendish Laboratory, University of Cambridge, Cambridge CB3 0HE, U.K. STFC Daresbury Laboratories, Daresbury WA4 4AD, U.K. Living Systems Institute, University of Exeter, Exeter EX4 4QD, U.K. College of Engineering, Mathematics and Phys Sciences, University of Exeter, Exeter EX4 4QF, U.K. Department of Biochemistry, University of Oxford, Oxford OX1 3QU, U.K. College of Life and Environmental Sciences, University of Exeter, Exeter EX4 4QD, U.K. Department of Physics & Astronomy, University College London, London WC1E 6BT, U.K. Department of Physics, King's College London, London, WC2R 2LS, U.K.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Calle B,Bineva-Todd G,Marchesi A,Flynn H,Ghirardello M,Tastan OY,Roustan C,Choi J,Galan MC,Schumann B,Malaker SA",Benefits of Chemical Sugar Modifications Introduced by Click Chemistry for Glycoproteomic Analyses,J. Am. Soc. Mass Spectrom.,Journal of the American Society for Mass Spectrometry,2021,,,,free_access,ACS Publications,19/04/2021,1044-0305,1879-1123,http://dx.doi.org/10.1021/jasms.1c00084;https://www.ncbi.nlm.nih.gov/pubmed/33871988;https://pubs.acs.org/doi/abs/10.1021/jasms.1c00084;https://spiral.imperial.ac.uk/bitstream/10044/1/87379/2/Manuscript_Malaker_clean.pdf,10.1021/jasms.1c00084,33871988,,,,"Chemical Glycobiology Laboratory, The Francis Crick Institute, 1 Midland Road, NW1 1AT London, United Kingdom. Department of Chemistry, Imperial College London, 80 Wood Lane, W12 0BZ London, United Kingdom. Proteomics Science Technology Platform, The Francis Crick Institute, NW1 1AT London, United Kingdom. School of Chemistry, University of Bristol, Cantock's Close BS8 1TS, United Kingdom. Structural Biology Science Technology Platform, The Francis Crick Institute, NW1 1AT London, United Kingdom. Department of Molecular Science and Technology, Ajou University, Suwon 16499, Republic of Korea. Department of Chemistry, Yale University, 275 Prospect Street, New Haven, Connecticut 06511, United States.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Al-Jarf R,de Sá AGC,Pires DEV,Ascher DB",pdCSM-cancer: Using Graph-Based Signatures to Identify Small Molecules with Anticancer Properties,J. Chem. Inf. Model.,Journal of chemical information and modeling,2021,61,7,3314-3322,free_access,ACS Publications,26/07/2021,1549-9596,1549-960X,http://dx.doi.org/10.1021/acs.jcim.1c00168;https://www.ncbi.nlm.nih.gov/pubmed/34213323;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8317153;https://doi.org/10.1021/acs.jcim.1c00168;https://pubs.acs.org/doi/abs/10.1021/acs.jcim.1c00168;https://pubs.acs.org/doi/full/10.1021/acs.jcim.1c00168,10.1021/acs.jcim.1c00168,34213323,,PMC8317153,,"Structural Biology and Bioinformatics, Department of Biochemistry, University of Melbourne, Parkville 3052, Victoria, Australia. Systems and Computational Biology, Bio21 Institute, University of Melbourne, Parkville 3052, Victoria, Australia. Computational Biology and Clinical Informatics, Baker Heart and Diabetes Institute, Melbourne 3004, Victoria, Australia. Baker Department of Cardiometabolic Health, Melbourne Medical School, University of Melbourne, Parkville 3010, Victoria, Australia. School of Computing and Information Systems, University of Melbourne, Parkville 3052, Victoria, Australia. Department of Biochemistry, University of Cambridge, 80 Tennis Ct Rd, Cambridge CB2 1GA, United Kingdom.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Neukirch K,Alsabil K,Dinh CP,Bilancia R,Raasch M,Ville A,Cerqua I,Viault G,Bréard D,Pace S,Temml V,Brunner E,Jordan PM,Marques MC,Loeser K,Gollowitzer A,Permann S,Gerstmeier J,Lorkowski S,Stuppner H,Garscha U,Rodrigues T,Bernardes GJL,Schuster D,Séraphin D,Richomme P,Rossi A,Mosig AS,Roviezzo F,Werz O,Helesbeux JJ,Koeberle A","Exploration of Long-Chain Vitamin E Metabolites for the Discovery of a Highly Potent, Orally Effective, and Metabolically Stable 5-LOX Inhibitor that Limits Inflammation",J. Med. Chem.,Journal of medicinal chemistry,2021,64,15,11496-11526,free_access,ACS Publications,12/08/2021,0022-2623,1520-4804,http://dx.doi.org/10.1021/acs.jmedchem.1c00806;https://www.ncbi.nlm.nih.gov/pubmed/34279935;https://doi.org/10.1021/acs.jmedchem.1c00806;https://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.1c00806;https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.1c00806,10.1021/acs.jmedchem.1c00806,34279935,,,,"Michael Popp Institute and Center for Molecular Biosciences Innsbruck (CMBI), University of Innsbruck, 6020 Innsbruck, Austria. Department of Pharmaceutical/Medicinal Chemistry, Institute of Pharmacy, Friedrich Schiller University Jena, 07743 Jena, Germany. Univ Angers, SONAS, SFR QUASAV, F-49000 Angers, France. Department of Pharmacy, School of Medicine and Surgery, University of Naples Federico II, 80131 Naples, Italy. Institute of Biochemistry II, Jena University Hospital, 07747 Jena, Germany. Department of Pharmaceutical and Medicinal Chemistry, Paracelsus Medical University Salzburg, 5020 Salzburg, Austria. Instituto de Medicina Molecular João Lobo Antunes, Faculdade de Medicina, Universidade de Lisboa, 1649-028 Lisboa, Portugal. Department of Nutritional Biochemistry and Physiology, Institute of Nutritional Science and Competence Cluster for Nutrition and Cardiovascular Health (nutriCARD), Halle-Jena-Leipzig, Friedrich Schiller University Jena, 07743 Jena, Germany. Institute of Pharmacy/Pharmacognosy and Center for Molecular Biosciences Innsbruck (CMBI), University of Innsbruck, 6020 Innsbruck, Austria. Department of Pharmaceutical/Medicinal Chemistry, Institute of Pharmacy, University of Greifswald, 17489 Greifswald, Germany. Department of Chemistry, University of Cambridge, CB2 1EW Cambridge, U.K.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Newman H,Krajnc A,Bellini D,Eyermann CJ,Boyle GA,Paterson NG,McAuley KE,Lesniak R,Gangar M,von Delft F,Brem J,Chibale K,Schofield CJ,Dowson CG",High-Throughput Crystallography Reveals Boron-Containing Inhibitors of a Penicillin-Binding Protein with Di- and Tricovalent Binding Modes,J. Med. Chem.,Journal of medicinal chemistry,2021,64,15,11379-11394,free_access,ACS Publications,12/08/2021,0022-2623,1520-4804,http://dx.doi.org/10.1021/acs.jmedchem.1c00717;https://www.ncbi.nlm.nih.gov/pubmed/34337941;https://doi.org/10.1021/acs.jmedchem.1c00717;https://pubs.acs.org/doi/abs/10.1021/acs.jmedchem.1c00717;https://pubs.acs.org/doi/full/10.1021/acs.jmedchem.1c00717,10.1021/acs.jmedchem.1c00717,34337941,,,,"School of Life Sciences, University of Warwick, Coventry CV4 7AL, U.K. Diamond Light Source Ltd, Harwell Science and Innovation Campus, Didcot OX11 0DE, U.K. Department of Chemistry and the Ineos Oxford Institute of Antimicrobial Research, Chemistry Research Laboratory, 12 Mansfield Road, Oxford OX1 3TA, U.K. Drug Discovery and Development Centre (H3D), University of Cape Town, Rondebosch 7701, South Africa. Structural Genomics Consortium (SGC), University of Oxford, Oxford, U.K. Department of Biochemistry, University of Johannesburg, Auckland Park 2006, South Africa. Research Complex at Harwell, Harwell Science and Innovation Campus, Didcot OX11 0FA, U.K. South African Medical Research Council Drug Discovery and Development Research Unit, Department of Chemistry and Institute of Infectious Disease and Molecular Medicine, University of Cape Town, Rondebosch 7701, South Africa.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Iribarren I,Sánchez-Sanz G,Alkorta I,Elguero J,Trujillo C",Evaluation of Electron Density Shifts in Noncovalent Interactions,J. Phys. Chem. A,The journal of physical chemistry. A,2021,125,22,4741-4749,free_access,ACS Publications,10/06/2021,1089-5639,1520-5215,http://dx.doi.org/10.1021/acs.jpca.1c00830;https://www.ncbi.nlm.nih.gov/pubmed/34061527;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8279648;https://doi.org/10.1021/acs.jpca.1c00830;https://pubs.acs.org/doi/abs/10.1021/acs.jpca.1c00830;https://pubs.acs.org/doi/full/10.1021/acs.jpca.1c00830,10.1021/acs.jpca.1c00830,34061527,,PMC8279648,,"Trinity Biomedical Sciences Institute, School of Chemistry, The University of Dublin, Trinity College, Dublin, Dublin 2, Ireland. Irish Centre For High-End Computing, 7 Floor, The Tower, Grand Canal Quay, Dublin 2 D02 HP83, Ireland. Instituto de Química Médica (IQM-CSIC), Juan de la Cierva, 3, 28006 Madrid, Spain.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Yuan S,Burgess S,Laffan M,Mason AM,Dichgans M,Gill D,Larsson SC",Genetically Proxied Inhibition of Coagulation Factors and Risk of Cardiovascular Disease: A Mendelian Randomization Study,J. Am. Heart Assoc.,Journal of the American Heart Association,2021,10,8,e019644,free_access,Am Heart Assoc,20/04/2021,2047-9980,,http://dx.doi.org/10.1161/JAHA.120.019644;https://www.ncbi.nlm.nih.gov/pubmed/33834859;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8174173;https://www.ahajournals.org/doi/10.1161/JAHA.120.019644?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed;https://www.ahajournals.org/doi/abs/10.1161/JAHA.120.019644;https://www.ahajournals.org/doi/pdf/10.1161/JAHA.120.019644,10.1161/JAHA.120.019644,33834859,,PMC8174173,,"Unit of Cardiovascular and Nutritional Epidemiology Institute of Environmental MedicineKarolinska Institutet Stockholm Sweden. Department of Public Health and Primary Care University of Cambridge Cambridge United Kingdom. MRC Biostatistics Unit University of Cambridge United Kingdom. Centre for Haematology Imperial College London United Kingdom. British Heart Foundation Cardiovascular Epidemiology Unit Department of Public Health and Primary Care University of Cambridge United Kingdom. National Institute for Health Research Cambridge Biomedical Research CentreUniversity of Cambridge and Cambridge University Hospitals Cambridge United Kingdom. Institute for Stroke and Dementia Research University HospitalLMU Munich Germany. Munich Cluster for Systems Neurology (SyNergy) Munich Germany. German Centre for Neurodegenerative Diseases (DZNE, Munich) Munich Germany. Department of Biostatistics and Epidemiology School of Public Health Imperial College London United Kingdom. Clinical Pharmacology and Therapeutics Section Institute of Medical and Biomedical Education and Institute for Infection and Immunity St George's, University of London United Kingdom. Clinical Pharmacology Group, Pharmacy and Medicines Directorate St George's University Hospitals NHS Foundation Trust London United Kingdom. Centre for Pharmacology & Therapeutics Department of Medicine Hammersmith CampusImperial College London United Kingdom. Novo Nordisk Research Centre Oxford Oxford United Kingdom. Unit of Medical Epidemiology Department of Surgical Sciences Uppsala University Uppsala Sweden.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Fanello C,Hoglund RM,Lee SJ,Kayembe D,Ndjowo P,Kabedi C,Badjanga BB,Niamyim P,Tarning J,Woodrow C,Gomes M,Day NP,White NJ,Onyamboko MA",Pharmacokinetic Study of Rectal Artesunate in Children with Severe Malaria in Africa,Antimicrob. Agents Chemother.,Antimicrobial agents and chemotherapy,2021,65,4,,free_access,Am Soc Microbiol,18/03/2021,0066-4804,1098-6596,http://dx.doi.org/10.1128/AAC.02223-20;https://www.ncbi.nlm.nih.gov/pubmed/33526485;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8097454;https://journals.asm.org/doi/10.1128/AAC.02223-20?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed;https://journals.asm.org/doi/abs/10.1128/AAC.02223-20;https://journals.asm.org/doi/pdf/10.1128/AAC.02223-20,10.1128/AAC.02223-20,33526485,,PMC8097454,,"Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom caterina.fanello@ndm.ox.ac.uk. Mahidol-Oxford Tropical Medicine Research Unit, Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand. Centre for Tropical Medicine and Global Health, Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom. Kinshasa School of Public Health, University of Kinshasa, Kinshasa, Democratic Republic of Congo. World Health Organization, Geneva, Switzerland.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Wasserman S,Davis A,Stek C,Chirehwa M,Botha S,Daroowala R,Bremer M,Maxebengula M,Koekemoer S,Goliath R,Jackson A,Crede T,Naude J,Szymanski P,Vallie Y,Moosa MS,Wiesner L,Black J,Meintjes G,Maartens G,Wilkinson RJ",Plasma Pharmacokinetics of High-Dose Oral versus Intravenous Rifampicin in Patients with Tuberculous Meningitis: a Randomized Controlled Trial,Antimicrob. Agents Chemother.,Antimicrobial agents and chemotherapy,2021,65,8,e0014021,free_access,Am Soc Microbiol,16/07/2021,0066-4804,1098-6596,http://dx.doi.org/10.1128/AAC.00140-21;https://www.ncbi.nlm.nih.gov/pubmed/33972248;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7611291;https://journals.asm.org/doi/10.1128/AAC.00140-21?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed;https://journals.asm.org/doi/abs/10.1128/AAC.00140-21;https://journals.asm.org/doi/pdf/10.1128/AAC.00140-21,10.1128/AAC.00140-21,33972248,,PMC7611291,,"Wellcome Centre for Infectious Diseases Research in Africa, Institute for Infectious Disease and Molecular Medicine, University of Cape Town, Cape Town, South Africa. Division of Infectious Diseases and HIV Medicine, Department of Medicine, University of Cape Town, Cape Town, South Africa. Francis Crick Institute, London, United Kingdom. Faculty of Life Sciences, University College London, London, United Kingdom. Department of Infectious Diseases, Imperial College, London, United Kingdom. Department of Medicine, University of Cape Town, Cape Town, South Africa. Division of Clinical Pharmacology, Department of Medicine, University of Cape Town, Cape Town, South Africa. Livingstone Hospital Complex, Eastern Cape Department of Health, Port Elizabeth, South Africa. Mitchells Plain Hospital, Western Cape Department of Health, Cape Town, South Africa. New Somerset Hospital, Western Cape Department of Health, Cape Town, South Africa.",Research Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
