Item type,Journal,Free_access OR gated?,Publisher,Date published,,,,,,,,,,
,,,,,,,,,,,PMC8169945,,"School of Pharmacy, University of Reading, Reading, RG6 6AX, UK. Department of Mathematics and Statistics, University of Reading, Reading, RG6 6AX, UK. Department of Neurodegenerative Disease, UCL Queen Square Institute of Neurology, London, WC1N 3BG, UK. Department of Neuromuscular Diseases, UCL Queen Square Institute of Neurology, London, WC1N 3BG, UK. UK Dementia Research Institute at UCL and Department of Neurodegenerative Disease, UCL IoN, UCL London, W1T 7NF UK. Reta Lila Weston Institute, UCL IoN, 1 Wakefield Street, London, WC1N 1PJ, UK. UCL Movement Disorders Centre, Department of Clinical and Movement Neurosciences, UCL Queen Square Institute of Neurology, London, WC1N 3BG, UK. Institute for Advanced Study, The Hong Kong University of Science and Technology, Hong Kong SAR, China. Aligning Science Across Parkinson's (ASAP) Collaborative Research Network, Chevy Chase, MD 20815, USA. Institute of Cardiovascular and Metabolic Research, University of Reading, Reading, RG6 6AS, UK. Department of Comparative Biomedical Sciences, Royal Veterinary College, London, NW1 0TU, UK. School of Pharmacy, University College London, London, WC1N 1AX, UK.",Research Article
,,,,,,,,,,,,,"Department of Dermatology, University of Minnesota, Minneapolis, Minnesota. Electronic address: mansh@umn.edu. London School of Hygiene and Tropical Medicine, London, United Kingdom. London School of Hygiene and Tropical Medicine, London, United Kingdom; St. John's Institute of Dermatology, London, United Kingdom.",Research Article
,,,,,,,,,,,,,,
,,,,,,,,,,,PMC8057690,,"Tropical and Infectious Diseases Unit, Liverpool University Hospitals NHS Foundation Trust, United Kingdom; Institute of Infection, Veterinary and Ecological Sciences, University of Liverpool, United Kingdom. Electronic address: a.stockdale@liverpool.ac.uk. Tropical and Infectious Diseases Unit, Liverpool University Hospitals NHS Foundation Trust, United Kingdom. Department of Radiology, Liverpool University Hospitals NHS Foundation Trust, United Kingdom. Tropical and Infectious Diseases Unit, Liverpool University Hospitals NHS Foundation Trust, United Kingdom; Institute of Infection, Veterinary and Ecological Sciences, University of Liverpool, United Kingdom. Tropical and Infectious Diseases Unit, Liverpool University Hospitals NHS Foundation Trust, United Kingdom; Institute of Systems, Molecular and Integrative Biology, University of Liverpool, United Kingdom.",Research Article
,,,,,,,,,,,,,"Genetics and Genomic Medicine, UCL GOS Institute of Child Health, London; Mosaicism and Precision Medicine Laboratory, The Francis Crick Institute, London. Genetics and Genomic Medicine, UCL GOS Institute of Child Health, London; Mosaicism and Precision Medicine Laboratory, The Francis Crick Institute, London; Paediatric Dermatology, Great Ormond St Hospital for Children, London. Genetics and Genomic Medicine, UCL GOS Institute of Child Health, London. Dermatology, Royal Devon and Exeter Hospital, Exeter, UK. Pharmacy, Great Ormond St Hospital for Children, London, UK. Paediatric Dermatology, Great Ormond St Hospital for Children, London. Paediatric Pathology, Great Ormond St Hospital for Children, London, UK. Dermatology, Royal London Hospital, London, UK. Bioinformatics, St George's University of London, London, UK. Infection, Immunity and Inflammation Programme, Immunobiology Section, UCL GOS Institute of Child Health, London, United Kingdom. Genetics and Genomic Medicine, UCL GOS Institute of Child Health, London; Mosaicism and Precision Medicine Laboratory, The Francis Crick Institute, London; Paediatric Dermatology, Great Ormond St Hospital for Children, London. Electronic address: veronica.kinsler@crick.ac.uk.",Research Article
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,PMC8287519,,"University College London Medical School, United Kingdom. Department of Respiratory Sciences, University of Leicester, United Kingdom. Department of Infection and HIV Medicine, University Hospitals of Leicester NHS Trust, United Kingdom. Division of Epidemiology and Public Health, School of Medicine, University of Nottingham, United Kingdom. Department of Health Sciences, University of Leicester, United Kingdom. Oxford University Hospitals NHS Foundation Trust, United Kingdom. University Hospitals Leicester NHS Trust, Leicester Royal Infirmary, United Kingdom. General Medical Council, United Kingdom. Nottinghamshire Healthcare NHS Foundation Trust, United Kingdom. Lancashire Clinical Research Facility, Royal Preston Hospital, United Kingdom. Respiratory department, Northumbria Specialist Emergency Care Hospital, United Kingdom. Research and Development Department, Berkshire Healthcare NHS Foundation Trust, United Kingdom. Derbyshire Healthcare NHS Foundation Trust Centre for Research and Development, Kingsway Hospital site, United Kingdom. Diabetes Research Centre, University of Leicester, United Kingdom.",Research Article
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,PMC8192261,,"Centre for Academic Child Health, Bristol Medical School: Population Health Sciences, University of Bristol, 1-5 Whiteladies Road, Bristol BS8 1NU. Electronic address: emma.anderson@bristol.ac.uk. Centre for Academic Child Health, Bristol Medical School: Population Health Sciences, University of Bristol, 1-5 Whiteladies Road, Bristol BS8 1NU.",Research Article
,,,,,,,,,,,PMC8202325,,"Department of Life Sciences, Imperial College London, Sir Alexander Fleming Building, Exhibition Road, South Kensington, London, UK. Electronic address: silvia.haase@crick.ac.uk. Division of Infection and Immunity, The Walter and Eliza Hall Institute of Medical Research, Melbourne, Victoria, Australia. Division of Structural Biology, The Walter and Eliza Hall Institute of Medical Research, Melbourne, Victoria, Australia. Department of Life Sciences, Imperial College London, Sir Alexander Fleming Building, Exhibition Road, South Kensington, London, UK. Division of Structural Biology, The Walter and Eliza Hall Institute of Medical Research, Melbourne, Victoria, Australia; Department of Medical Biology, The University of Melbourne, Melbourne, Victoria, Australia. Department of Life Sciences, Imperial College London, Sir Alexander Fleming Building, Exhibition Road, South Kensington, London, UK. Electronic address: jake.baum@imperial.ac.uk.",Research Article
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Division of Psychological Medicine and Clinical Neurosciences, MRC Centre for Neuropsychiatric Genetics and Genomics, Cardiff University, Wales, United Kingdom. Division of Psychological Medicine and Clinical Neurosciences, MRC Centre for Neuropsychiatric Genetics and Genomics, Cardiff University, Wales, United Kingdom; Cwm Taf Morgannwg University Health Board, Wales, United Kingdom. MRC Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom; Nic Waals Institute, Lovisenberg Diaconal Hospital, Oslo, Norway. MRC Integrative Epidemiology Unit, University of Bristol, Bristol, United Kingdom; Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, United Kingdom. Division of Psychological Medicine and Clinical Neurosciences, MRC Centre for Neuropsychiatric Genetics and Genomics, Cardiff University, Wales, United Kingdom; School of Psychology, Cardiff University, Wales, United Kingdom. Division of Psychological Medicine and Clinical Neurosciences, MRC Centre for Neuropsychiatric Genetics and Genomics, Cardiff University, Wales, United Kingdom. Electronic address: Thapar@Cardiff.ac.uk.",Research Article
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,PMC8146727,,"School of Psychological Science, University of Bristol, 12a Priory Road, Bristol, BS8 1TU, UK; Department of Behavioural Science and Health, University College London, 1-19 Torrington Place, London, WC1E 6BT, UK. Electronic address: l.brocklebank@ucl.ac.uk. School of Psychological Science, University of Bristol, 12a Priory Road, Bristol, BS8 1TU, UK. Behaviour and Health Research Unit, University of Cambridge, Cambridge, CB2 0SR, UK. Department of Psychiatry, University of Cambridge, Clifford Allbut Building, Addenbrooke's Hospital, Cambridge, CB2 0SP, UK; Cambridgeshire and Peterborough NHS Foundation Trust, Cambridge, CB21 5EF, UK; Wellcome Trust MRC Institute of Metabolic Science, University of Cambridge, Cambridge Biomedical Campus, Cambridge, CB2 0QQ, UK. Department of Population Health Sciences, Bristol Medical School, University of Bristol, Bristol, UK. Nuffield Department of Primary Care Health Sciences, University of Oxford, Radcliffe Primary Care Building, Radcliffe Observatory Quarter, Woodstock Road, Oxford, OX2 6GG, UK. School of Psychological Science, University of Bristol, 12a Priory Road, Bristol, BS8 1TU, UK; National Institute for Health Research Biomedical Research Centre, University Hospitals Bristol NHS Foundation Trust and University of Bristol, Bristol, UK; MRC Integrative Epidemiology Unit, University of Bristol, Oakfield House, Oakfield Grove, Bristol, BS8 2BN, UK. Electronic address: marcus.munafo@bristol.ac.uk.",Research Article
,,,,,,,,,,,,,"Health Organisation, Policy and Economics, School of Health Sciences, University of Manchester, Manchester, UK. Electronic address: sean.urwin@manchester.ac.uk. Health Organisation, Policy and Economics, School of Health Sciences, University of Manchester, Manchester, UK. Division of Nursing, Midwifery and Social Work, Manchester Academic Health Science Centre, University of Manchester, Manchester, UK. Health Organisation, Policy and Economics, School of Health Sciences, University of Manchester, Manchester, UK; Melbourne Institute, Applied Economic and Social Research, University of Melbourne, Melbourne, Australia.",Research Article
,,,,,,,,,,,,,,
,,,,,,,,,,,PMC8121770,,"Developmental and Cellular Biology, Luxembourg Centre for Systems Biomedecine (LCSB), University of Luxembourg, 6, Avenue du Swing, 4367 Belvaux, Luxembourg.",Research Article
,,,,,,,,,,,,,,
,,,,,,,,,,,PMC7862909,http://creativecommons.org/licenses/by/4.0/,"Haematopoietic Stem Cell Laboratory, The Francis Crick Institute, 1 Midland Road, London NW1 1AT, UK.; Haematopoietic Stem Cell Laboratory, The Francis Crick Institute, 1 Midland Road, London NW1 1AT, UK; Department of Haematology, King's College Hospital, London SE5 9RS, UK.; Cell Biology of Infection Laboratory, The Francis Crick Institute, London NW1 1AT, UK.; Antimicrobial Defense Laboratory, The Francis Crick Institute, London NW1 1AT, UK.; Department of Haematology, King's College Hospital, London SE5 9RS, UK.; Haematopoietic Stem Cell Laboratory, The Francis Crick Institute, 1 Midland Road, London NW1 1AT, UK. Electronic address: dominique.bonnet@crick.ac.uk.",Research Article
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,pmc8315758,,,
,,,,,,,,,,,PMC8030738,,"MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: a.hogan@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: p.winskill@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: o.watson15@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: patrick.walker06@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: charles.whittaker16@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom; Department of Infectious Disease Epidemiology, London School of Hygiene & Tropical Medicine, Keppel St, Bloomsbury, London WC1E 7HT, United Kingdom. Electronic address: m.baguelin@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: n.brazeau@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: gc1610@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: k.gaythorpe@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: arran.hamlet14@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: e.knock@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: d.laydon@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: j.lees@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: a.lochen17@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: r.verity@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: l.whittles@imperial.ac.uk. PATH, 455 Massachusetts Avenue NW, Suite 1000, Washington, DC 20001, USA. Electronic address: fmuhib@path.org. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: k.hauck@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: neil.ferguson@imperial.ac.uk. MRC Centre for Global Infectious Disease Analysis, and the Abdul Latif Jameel Institute for Disease and Emergency Analytics, School of Public Health, Imperial College London, St Mary's Campus, Norfolk Place, London, W2 1PG, United Kingdom. Electronic address: a.ghani@imperial.ac.uk.",Research Article
,,,,,,,,,,,PMC7903242,,"The Jenner Institute, University of Oxford, Old Road Campus Research Building, Roosevelt Drive, Oxford, United Kingdom. The Jenner Institute, University of Oxford, Old Road Campus Research Building, Roosevelt Drive, Oxford, United Kingdom. Electronic address: elena.stylianou@ndm.ox.ac.uk.",Research Article
,,,,,,,,,,,PMC8325632,,"Department of Neuroscience, Howard Hughes Medical Institute, Program in Cellular Neuroscience, Neurodegeneration and Repair, Kavli Institute for Neuroscience, Yale School of Medicine, New Haven, USA; Department of Cell Biology, Yale School of Medicine, New Haven, CT, USA; Aligning Science Across Parkinson's (ASAP) Collaborative Research Network, Chevy Chase, MD, USA; CNR Institute of Neuroscience, Milan, Italy and Humanitas Clinical and Research Center, Rozzano, MI, Italy. Electronic address: marianna.leonzino@in.cnr.it. Department of Cell Biology, Yale School of Medicine, New Haven, CT, USA; Aligning Science Across Parkinson's (ASAP) Collaborative Research Network, Chevy Chase, MD, USA. Electronic address: karin.reinisch@yale.edu. Department of Neuroscience, Howard Hughes Medical Institute, Program in Cellular Neuroscience, Neurodegeneration and Repair, Kavli Institute for Neuroscience, Yale School of Medicine, New Haven, USA; Department of Cell Biology, Yale School of Medicine, New Haven, CT, USA; Aligning Science Across Parkinson's (ASAP) Collaborative Research Network, Chevy Chase, MD, USA. Electronic address: pietro.decamilli@yale.edu.",Review
,,,,,,,,,,,,http://creativecommons.org/licenses/by/4.0/,"School of Microbiology and APC Microbiome Ireland, University College Cork, Cork, Ireland. Electronic address: j.mahony@ucc.ie.; School of Microbiology and APC Microbiome Ireland, University College Cork, Cork, Ireland. Electronic address: d.vansinderen@ucc.ie.",Review
,,,,,,,,,,,,,"Department of Cell and Developmental Biology, University College London, WC1E 6DE London, United Kingdom. Department of Cell and Developmental Biology, University College London, WC1E 6DE London, United Kingdom; The Francis Crick Institute, 1 Midland Road, London NW1 1AT, United Kingdom; Dubowitz Neuromuscular Centre, Great Ormond Street Institute of Child Health, University College London, London WC1N 1EH, United Kingdom; Department of Paediatric Neurology, Great Ormond Street Hospital for Children, WC1N 3JH London, United Kingdom. Electronic address: f.s.tedesco@ucl.ac.uk.",Review
,,,,,,,,,,,,,"Department of Neuroscience, Physiology & Pharmacology, University College London, Gower Street, London, WC1E 6BT, UK. The Crick Institute, 1 Midland Road, London, NW1 1AT, UK. Department of Neuroscience, Physiology & Pharmacology, University College London, Gower Street, London, WC1E 6BT, UK. Electronic address: d.attwell@ucl.ac.uk.",Review
,,,,,,,,,,,,,"Cambridge Institute for Therapeutic Immunology and Infectious Disease Jeffery Cheah Biomedical Centre, Cambridge, CB2 0AW, UK. Electronic address: slc50@cam.ac.uk. MRC Laboratory of Molecular Biology, Cambridge Biomedical Campus Francis Crick Avenue, Cambridge, CB2 0QH, UK. Electronic address: gpapa@mrc-lmb.cam.ac.uk. Department of Biochemistry, University of Cambridge, Cambridge, CB2 1QW, UK. Electronic address: ab2677@cam.ac.uk. Department of Medicine, University of Cambridge, Addenbrooke's Hospital, Cambridge CB2 0QQ, UK. Electronic address: ud207@medschl.cam.ac.uk.",Review
